Jaan Liik         |  8,  7,  8,  4,  0,  5,  0
Teet Kala         |  2, 10,  4,  6, 10,  3,  2
Annika Tihe       | 10,  2,  2, 10,  3,  1,  0
Eliisa Tihe       |  1,  6,  3,  0, 10,  4,  6
Rainer Soone      |  2, 10,  0,  4, 10,  1, 10
Kristiina Ruun    |  0,  5,  6,  0,  7,  0,  7
Aune Altimeit     |  0,  5,  8,  4, 10,  0,  0
Estin Kuld        |  1,  8,  0,  9,  0,  6,  0
Gert Timpan       | 10,  0,  6,  6,  6,  7,  0
Anton Valdiszenko | 10, 10,  8,  6,  6,  5, 10
Tatjana Sandrova  |  4,  5,  1,  7,  0,  6,  0
Justin Saar       |  0,  9,  1,  6,  6,  0,  9
Gerda Uusvoor     |  5, 10,  4, 10, 10,  7,  9
Riin Haljaste     |  3,  2,  7,   0,  2,  4,  3
Joosep Taevas     |  6,  3,  0,  5, 10,  6, 10
Uku Lepp          |  1,  0,  7,  0,  0,  3,  7
Sulev Palk        | 10, 10,  2,  9,  4,  5, 10
Ants Aus          |  8,  6,  1,  9,  5,  0,  6
Kaarel Hundu      |  9,  7,  2, 10,  7,  0,  6
Isabella Koit     | 10,  9,  2, 10,  8,  2,  8
Liis Vesiliiv     |  8,  4,  1,  6,  7,  3,  8
Urve Kittel       |  2,  3,  0,  6,  4,  3,  1
Maarja Maa        |  6,  2,  1,  6, 10,  5, 10
Inga Ubin         | 10,  7,  7,  3,  7,  7,  0
Reelika Tass      | 10,  0,  8,  5,  0,  0,  8
